tc_cellu,tc_cellv,tc_cell_train,tc_cell_AEblock
7,4,0,4
6,4,1,12
5,4,2,20
4,4,3,28
7,5,4,5
6,5,5,13
5,5,6,21
4,5,7,29
7,6,8,6
6,6,9,14
5,6,10,22
4,6,11,30
7,7,12,7
6,7,13,15
5,7,14,23
4,7,15,31
1,0,16,24
2,1,17,25
3,2,18,26
4,3,19,27
2,0,20,16
3,1,21,17
4,2,22,18
5,3,23,19
3,0,24,8
4,1,25,9
5,2,26,10
6,3,27,11
4,0,28,0
5,1,29,1
6,2,30,2
7,3,31,3
3,6,32,47
3,5,33,43
3,4,34,39
3,3,35,35
2,5,36,46
2,4,37,42
2,3,38,38
2,2,39,34
1,4,40,45
1,3,41,41
1,2,42,37
1,1,43,33
0,3,44,44
0,2,45,40
0,1,46,36
0,0,47,32
